name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"DTLB-misses","ITLB-misses","L1D-misses","L1I-misses","LLC-misses","avg_size","bits","branch-misses","cycles","duration","failures","fpr","instructions","retries","size","task-clock"
"Xor_Nonpart_Scalar_3/MTCount/800/10/1/10000/100000000/10/iterations:5/manual_time",5,44.8784,0.2368,ms,,,,,,-1,-1,-1,-1,-1,30016,24.0128,-1,-1,44.8784,0,0.125023,-1,0,30016,-1
"Xor_Nonpart_Scalar_3/MTCount/833/10/1/10000/100000000/10/iterations:5/manual_time",5,45.0671,0.272302,ms,,,,,,-1,-1,-1,-1,-1,31296,25.0368,-1,-1,45.0671,0,0.12505,-1,0,31296,-1
"Xor_Nonpart_Scalar_3/MTCount/866/10/1/10000/100000000/10/iterations:5/manual_time",5,45.7889,0.267482,ms,,,,,,-1,-1,-1,-1,-1,32512,26.0096,-1,-1,45.7889,0,0.125053,-1,0,32512,-1
"Xor_Nonpart_Scalar_4/MTCount/125/10/1/10000/100000000/10/iterations:5/manual_time",5,47.8392,0.252926,ms,,,,,,-1,-1,-1,-1,-1,6272,5.0176,-1,-1,47.8392,0,0.0625136,-1,0,6272,-1
"Xor_Nonpart_Scalar_4/MTCount/150/10/1/10000/100000000/10/iterations:5/manual_time",5,48.651,0.268008,ms,,,,,,-1,-1,-1,-1,-1,7552,6.0416,-1,-1,48.651,0,0.0624935,-1,0,7552,-1
"Xor_Nonpart_Scalar_4/MTCount/175/10/1/10000/100000000/10/iterations:5/manual_time",5,48.2279,0.327824,ms,,,,,,-1,-1,-1,-1,-1,8768,7.0144,-1,-1,48.2279,0,0.0624694,-1,0,8768,-1
"Xor_Nonpart_Scalar_4/MTCount/200/10/1/10000/100000000/10/iterations:5/manual_time",5,48.4845,0.243076,ms,,,,,,-1,-1,-1,-1,-1,10048,8.0384,-1,-1,48.4845,0,0.0625066,-1,0,10048,-1
"Xor_Nonpart_Scalar_4/MTCount/225/10/1/10000/100000000/10/iterations:5/manual_time",5,49.3721,0.272961,ms,,,,,,-1,-1,-1,-1,-1,11264,9.0112,-1,-1,49.3721,0,0.0624623,-1,0,11264,-1
"Xor_Nonpart_Scalar_4/MTCount/250/10/1/10000/100000000/10/iterations:5/manual_time",5,48.1327,0.240204,ms,,,,,,-1,-1,-1,-1,-1,12544,10.0352,-1,-1,48.1327,0,0.0625123,-1,0,12544,-1
"Xor_Nonpart_Scalar_4/MTCount/275/10/1/10000/100000000/10/iterations:5/manual_time",5,48.9904,0.27548,ms,,,,,,-1,-1,-1,-1,-1,13760,11.008,-1,-1,48.9904,0,0.0625029,-1,0,13760,-1
